State,Licensed_Drivers_Thousands,Fatalities_per_100K_Drivers,Registered_Vehicles_Thousands,Fatalities_per_100K_Registered_Vehicles,Population_Thousands,Fatalities_per_100K_Population,Total_Killed
Alabama,3943,26.32,5468,18.98,4863,21.34,1038
Alaska,535,15.71,795,10.57,742,11.32,84
Arizona,5082,18.93,5787,16.62,6931,13.88,962
Arkansas,2391,22.79,2808,19.41,2988,18.24,545
California,26199,13.83,30221,11.99,39250,9.23,3623
Colorado,4067,14.95,5116,11.88,5541,10.97,608
Connecticut,2611,11.22,2842,10.31,3576,8.19,293
Delaware,756,15.73,1004,11.85,952,12.5,119
Dist of Columbia,490,5.51,337,8.01,681,3.96,27
Florida,14675,21.63,16600,19.12,20612,15.4,3174
Georgia,6976,22.28,8240,18.86,10310,15.07,1554
Hawaii,932,12.88,1232,9.74,1429,8.4,120
Idaho,1161,21.79,1842,13.73,1683,15.03,253
Illinois,8515,12.71,10277,10.53,12802,8.45,1082
Indiana,4553,18.03,6141,13.37,6633,12.38,821
Iowa,2246,17.99,3676,10.99,3135,12.89,404
Kansas,2030,21.13,2650,16.19,2907,14.76,429
Kentucky,3031,27.51,4225,19.74,4437,18.8,834
Louisiana,3395,22.3,3905,19.39,4682,16.17,757
Maine,1021,15.76,1108,14.53,1331,12.09,161
Maryland,4265,11.84,4179,12.08,6016,8.39,505
Massachusetts,5041,7.72,5070,7.67,6812,5.71,389
Michigan,7075,15.04,8333,12.77,9928,10.72,1064
Minnesota,3378,11.6,5358,7.32,5520,7.1,392
Mississippi,2019,34.18,2067,33.38,2989,23.09,690
Missouri,4250,22.24,5685,16.62,6093,15.51,945
Montana,797,23.84,1795,10.59,1043,18.23,190
Nebraska,1404,15.52,1952,11.17,1907,11.43,218
Nevada,1872,17.52,2399,13.67,2940,11.16,328
New Hampshire,1096,12.41,1323,10.28,1335,10.19,136
New Jersey,6238,9.63,5941,10.12,8944,6.72,601
New Mexico,1522,26.42,1824,22.04,2081,19.32,402
New York,11948,8.58,11122,9.22,19745,5.19,1025
North Carolina,7267,19.95,8271,17.53,10147,14.29,1450
North Dakota,556,20.33,895,12.63,758,14.91,113
Ohio,7975,14.19,10686,10.59,11614,9.75,1132
Oklahoma,2498,27.34,3737,18.27,3924,17.41,683
Oregon,2856,17.33,3812,12.99,4093,12.09,495
Pennsylvania,8997,13.2,10749,11.05,12784,9.29,1188
Rhode Island,753,6.77,876,5.82,1056,4.83,51
South Carolina,3747,27.09,4324,23.47,4961,20.46,1015
South Dakota,623,18.63,1246,9.31,865,13.4,116
Tennessee,5198,20.03,5710,18.23,6651,15.65,1041
Texas,15880,23.78,21766,17.35,27863,13.55,3776
Utah,1960,14.33,2317,12.13,3051,9.21,281
Vermont,554,11.2,616,10.07,625,9.93,62
Virginia,5912,12.86,7301,10.41,8412,9.03,760
Washington,5636,9.53,7048,7.62,7288,7.37,537
West Virginia,1159,23.2,1705,15.78,1831,14.69,269
Wisconsin,4207,14.43,5564,10.91,5779,10.5,607
Wyoming,421,26.6,855,13.1,586,19.13,112
