Year,Males_Number_Involved_In_Fatal_Crashes,Males_Licensed_Drivers_Thousands,Males_Involvement_Rate_per_100K_Licensed_Drivers,Females_Number_Involved_In_Fatal_Crashes,Females_Licensed_Drivers_Thousands,Females_Involvement_Rate_per_100K_Licensed_Drivers,Total_Number_Involved_In_Fatal_Crashes,Total_Licensed_Drivers_Thousands,Total_Involvement_Rate_per_100K_Licensed_Drivers
1975,45087,70435,64,9356,59233,15.8,54445,129668,41.99
1976,45091,72452,62,9953,61458,16.19,55045,133910,41.11
1977,48548,74385,65,10775,63591,16.94,59324,137976,43
1978,51665,75504,68,11221,65177,17.22,62887,140681,44.7
1979,52208,76458,68,11308,66695,16.95,63518,143152,44.37
1980,50921,77135,66,11353,68067,16.68,62277,145202,42.89
1981,49838,77831,64,11396,69142,16.48,61238,146972,41.67
1982,43877,78484,56,10579,71627,14.77,54462,150111,36.28
1983,42329,80823,52,10854,73440,14.78,53184,154263,34.48
1984,44213,80916,55,11806,74398,15.87,56022,155315,36.07
1985,44290,81537,54,12031,75231,15.99,56322,156769,35.93
1986,46083,82740,56,12603,76651,16.44,58688,159390,36.82
1987,46337,83939,55,13492,77789,17.34,59829,161728,36.99
1988,46840,84099,56,13814,78661,17.56,60658,162760,37.27
1989,44941,85356,53,13927,80160,17.37,58870,165516,35.57
1990,43802,85769,51,13586,81203,16.73,57393,166972,34.37
1991,40288,86630,47,12716,82300,15.45,53007,168930,31.38
1992,38186,88363,43,12492,84716,14.75,50682,173079,29.28
1993,39118,87974,44,12960,85138,15.22,52080,173112,30.08
1994,39784,89165,45,13449,86183,15.61,53238,175347,30.36
1995,40799,89184,46,14043,87386,16.07,54847,176570,31.06
1996,40899,90503,45,14723,89007,16.54,55624,179510,30.99
1997,40594,91888,44,14816,90789,16.32,55412,182677,30.33
1998,40433,93023,43,14967,91805,16.3,55404,184828,29.98
1999,40639,94149,43,14717,92988,15.83,55359,187137,29.58
2000,41443,95782,43,14682,94816,15.48,56126,190598,29.45
2001,41548,95779,43,14829,95471,15.53,56380,191250,29.48
2002,41995,97595,43,14876,96978,15.34,56874,194574,29.23
2003,42177,98209,43,15106,97919,15.43,57285,196128,29.21
2004,41876,99559,42,15272,99305,15.38,57152,198864,28.74
2005,42947,100240,43,14967,100285,14.92,57921,200525,28.88
2006,41912,101010,41,14661,101589,14.43,56577,202599,27.93
2007,40764,102338,40,14101,103152,13.67,54872,205490,26.7
2008,36825,103449,36,12536,104537,11.99,49369,207986,23.74
2009,32690,104056,31,11797,105153,11.22,44492,209209,21.27
2010,31897,104175,31,11796,105542,11.18,43697,209717,20.84
2011,31771,104720,30,11227,106794,10.51,43001,211514,20.33
2012,33209,104920,32,11557,106767,10.82,44773,211688,21.15
2013,32457,104976,31,11382,107121,10.63,43848,212097,20.67
2014,32462,105876,31,11250,108154,10.4,43721,214030,20.43
2015,35679,107617,33,12332,110402,11.17,48029,218019,22.03
2016,37352,109556,34,13208,112093,11.78,50581,221649,22.82
