Year,Males_Number_Involved_in_Injury_Crashes,Males _Licensed_Drivers_Thousands,Males_Involvement_Rate_per_100K_Licensed_Drivers,Females_Number_Involved_in_Injury_Crashes,Females _Licensed_Drivers_Thousands,Females_Involvement_Rate_per_100K_Licensed_Drivers,Total_Number_Involved_in_Injury_Crashes,Total _Licensed_Drivers_Thousands,Total_Involvement_Rate_per_100K_Licensed_Drivers
1988.00,2423000.00,84099.00,2881.00,1485000.00,78661.00,1887.00,3907000.00,162760.00,2401.00
1989.00,2347000.00,85356.00,2749.00,1446000.00,80160.00,1804.00,3793000.00,165516.00,2291.00
1990.00,2285000.00,85769.00,2664.00,1458000.00,81203.00,1795.00,3743000.00,166972.00,2242.00
1991.00,2171000.00,86630.00,2506.00,1380000.00,82300.00,1677.00,3551000.00,168930.00,2102.00
1992.00,2114000.00,88363.00,2392.00,1439000.00,84716.00,1699.00,3553000.00,173079.00,2053.00
1993.00,2144000.00,87974.00,2437.00,1468000.00,85138.00,1724.00,3612000.00,173112.00,2086.00
1994.00,2264000.00,89165.00,2539.00,1574000.00,86183.00,1826.00,3838000.00,175347.00,2189.00
1995.00,2378000.00,89184.00,2667.00,1687000.00,87386.00,1931.00,4066000.00,176570.00,2303.00
1996.00,2378000.00,90503.00,2627.00,1711000.00,89007.00,1922.00,4089000.00,179510.00,2278.00
1997.00,2296000.00,91888.00,2499.00,1643000.00,90789.00,1809.00,3939000.00,182677.00,2156.00
1998.00,2158000.00,93023.00,2319.00,1576000.00,91805.00,1717.00,3734000.00,184828.00,2020.00
1999.00,2134000.00,94149.00,2267.00,1609000.00,92988.00,1730.00,3743000.00,187137.00,2000.00
2000.00,2192000.00,95782.00,2289.00,1573000.00,94816.00,1659.00,3765000.00,190598.00,1975.00
2001.00,2090000.00,95779.00,2182.00,1547000.00,95471.00,1620.00,3637000.00,191250.00,1902.00
2002.00,2000000.00,97595.00,2049.00,1481000.00,96978.00,1528.00,3482000.00,194574.00,1789.00
2003.00,1990000.00,98209.00,2026.00,1525000.00,97919.00,1557.00,3514000.00,196128.00,1792.00
2004.00,1912000.00,99559.00,1920.00,1482000.00,99305.00,1493.00,3394000.00,198864.00,1707.00
2005.00,1837000.00,100240.00,1832.00,1425000.00,100285.00,1421.00,3262000.00,200525.00,1627.00
2006.00,1763000.00,101010.00,1745.00,1387000.00,101589.00,1366.00,3150000.00,202599.00,1555.00
2007.00,1708000.00,102338.00,1669.00,1333000.00,103152.00,1292.00,3041000.00,205490.00,1480.00
2008.00,1596000.00,103449.00,1543.00,1276000.00,104537.00,1221.00,2872000.00,207986.00,1381.00
2009.00,1487000.00,104056.00,1429.00,1217000.00,105153.00,1157.00,2704000.00,209209.00,1292.00
2010.00,1511000.00,104175.00,1451.00,1261000.00,105542.00,1195.00,2773000.00,209717.00,1322.00
2011.00,1503000.00,104720.00,1435.00,1240000.00,106794.00,1161.00,2743000.00,211514.00,1297.00
2012.00,1630000.00,104920.00,1553.00,1311000.00,106767.00,1228.00,2940000.00,211688.00,1389.00
2013.00,1578000.00,104976.00,1503.00,1327000.00,107121.00,1239.00,2905000.00,212097.00,1370.00
2014.00,1639000.00,105876.00,1548.00,1336000.00,108154.00,1236.00,2976000.00,214030.00,1390.00
2015.00,1728000.00,107617.00,1605.00,1407000.00,110402.00,1274.00,3134000.00,218019.00,1438.00
