Year,Males_Number_Involved_in_Property-Damage-Only_Crashes,Males_Licensed_Drivers_Thousands,Males_Involvement_Rate_per_100K_Licensed_Drivers,Females_Number_Involved_in_Property-Damage-Only_Crashes,Females_Licensed_Drivers_Thousands,Females_Involvement_Rate_per_100K_Licensed_Drivers,Total_Number_Involved_in_Property-Damage-Only_Crashes,Total_Licensed_Drivers_Thousands,Total_Involvement_Rate_per_100K_Licensed_Drivers
1988.00,5013000.00,84099.00,5961.00,2816000.00,78661.00,3580.00,7829000.00,162760.00,4810.00
1989.00,4915000.00,85356.00,5758.00,2687000.00,80160.00,3352.00,7602000.00,165516.00,4593.00
1990.00,4733000.00,85769.00,5519.00,2677000.00,81203.00,3296.00,7410000.00,166972.00,4438.00
1991.00,4419000.00,86630.00,5101.00,2600000.00,82300.00,3159.00,7019000.00,168930.00,4155.00
1992.00,4316000.00,88363.00,4885.00,2530000.00,84716.00,2987.00,6847000.00,173079.00,3956.00
1993.00,4402000.00,87974.00,5003.00,2561000.00,85138.00,3008.00,6963000.00,173112.00,4022.00
1994.00,4695000.00,89165.00,5265.00,2828000.00,86183.00,3282.00,7523000.00,175347.00,4290.00
1995.00,4847000.00,89184.00,5434.00,2905000.00,87386.00,3325.00,7752000.00,176570.00,4390.00
1996.00,4888000.00,90503.00,5400.00,2968000.00,89007.00,3335.00,7856000.00,179510.00,4376.00
1997.00,4808000.00,91888.00,5232.00,2967000.00,90789.00,3268.00,7775000.00,182677.00,4256.00
1998.00,4634000.00,93023.00,4982.00,2902000.00,91805.00,3162.00,7536000.00,184828.00,4078.00
1999.00,4509000.00,94149.00,4789.00,2800000.00,92988.00,3011.00,7309000.00,187137.00,3906.00
2000.00,4559000.00,95782.00,4760.00,2904000.00,94816.00,3062.00,7463000.00,190598.00,3915.00
2001.00,4518000.00,95779.00,4717.00,2903000.00,95471.00,3041.00,7421000.00,191250.00,3880.00
2002.00,4436000.00,97595.00,4545.00,2999000.00,96978.00,3093.00,7435000.00,194574.00,3821.00
2003.00,4528000.00,98209.00,4610.00,3020000.00,97919.00,3084.00,7547000.00,196128.00,3848.00
2004.00,4405000.00,99559.00,4424.00,3037000.00,99305.00,3058.00,7442000.00,198864.00,3742.00
2005.00,4357000.00,100240.00,4347.00,3007000.00,100285.00,2998.00,7364000.00,200525.00,3672.00
2006.00,4232000.00,101010.00,4190.00,2968000.00,101589.00,2922.00,7200000.00,202599.00,3554.00
2007.00,4329000.00,102338.00,4230.00,3058000.00,103152.00,2964.00,7386000.00,205490.00,3594.00
2008.00,4115000.00,103449.00,3978.00,2940000.00,104537.00,2812.00,7055000.00,207986.00,3392.00
2009.00,3839000.00,104056.00,3689.00,2879000.00,105153.00,2738.00,6718000.00,209209.00,3211.00
2010.00,3841000.00,104175.00,3687.00,2855000.00,105542.00,2705.00,6696000.00,209717.00,3193.00
2011.00,3669000.00,104720.00,3503.00,2918000.00,106794.00,2732.00,6586000.00,211514.00,3114.00
2012.00,3867000.00,104920.00,3685.00,2998000.00,106767.00,2808.00,6865000.00,211688.00,3243.00
2013.00,3978000.00,104976.00,3789.00,3085000.00,107121.00,2880.00,7063000.00,212097.00,3330.00
2014.00,4342000.00,105876.00,4101.00,3299000.00,108154.00,3051.00,7641000.00,214030.00,3570.00
2015.00,4551000.00,107617.00,4229.00,3383000.00,110402.00,3065.00,7934000.00,218019.00,3639.00
